month,year,day of month,early release,breakfast,lunch,snack
October,2025,1,,Vanilla Cream Filled Breadstick,Bean and Cheese Nachos,Yogurt and Granola
October,2025,2,,Apple Cinnamon Muffin,Cheese Pizza,Vegetables and Cheese
October,2025,3,,Mini Pancakes,BBQ Pork Sandwich,Fruit Cup and Crackers
October,2025,6,,Ham and Cheese Croissant,Pasta with Marinara and Mozzarella,Cheese and Crackers
October,2025,7,,Honey Cheerios Cereal,Chicken Tenders,Fruit and Crackers
October,2025,8,,Maple Waffles,Pancakes and Chicken Sausage,Yogurt and Granola
October,2025,9,,Bagel Bites with Cream Cheese,Cheese Pizza,Fruit Cup and Cheese
October,2025,14,,Cinnamon Chex Cereal,Mozzarella Breadsticks,Cheese and Crackers
October,2025,15,,Vanilla Cream Filled Breadstick,Bean and Cheese Burrito,Yogurt and Granola
October,2025,16,,Apple Cinnamon Muffin,Cheese Pizza,Vegetables and Cheese
October,2025,20,,Ham and Cheese Croissant,Yakisoba Noodles with Teriyaki Tofu,Cheese and Crackers
October,2025,21,,Honey Cheerios Cereal,Chicken Tenders,Fruit and Crackers
October,2025,22,true,Maple Waffles,"Turkey and Cheese Sandwich Cheese Sandwich",Yogurt and Granola
October,2025,23,,Bagel Bites with Cream Cheese,Cheese Pizza,Fruit Cup and Cheese
October,2025,24,,French Toast Sticks,Hamburger,Vegetables and Crackers
October,2025,29,,Vanilla Cream Filled Breadstick,Bean and Cheese Nachos,Yogurt and Granola
