month,year,day of month,early release,breakfast,lunch,snack
September,2024,5,,Cereal,Cheese Pizza,Yogurt and Granola
September,2024,6,,Cinnamon Crumble Bread,Cheeseburger,Fruit and Crackers
September,2024,9,,Cereal,Teriyaki Chicken with Brown Rice,Yogurt and Granola
September,2024,10,,Breakfast Bread,Mozzarella Breadsticks,Fruit Cup and Crackers
September,2024,11,,Cereal,Chicken Dumplings,Fruit and Crackers
September,2024,12,,"Apple Cinnamon Oatmeal Round",Cheese Pizza,Fruit and Tortilla Chips
September,2024,16,,Pumpkin Bread,Pasta with Marinara and Mozzarella,Fruit and Chex Mix
September,2024,17,,Cereal,Chicken Tenders,Fruit Cup and Crackers
September,2024,18,,Breakfast Bread,Bean and Cheese Nachos,Yogurt and Granola
September,2024,19,,Cereal,Cheese Pizza,Cheese and Vegetables
September,2024,23,,Honey Cheerios Cereal,Orange Chicken with Brown Rice,Yogurt and Granola
September,2024,24,,Breakfast Bread,Mozzarella Breadsticks,Fruit Cup and Crackers
September,2024,25,true,Cereal,Turkey Sandwich,Fruit and Crackers
September,2024,26,,"Bagel Sticks with Cream Cheese",Cheese Pizza,Fruit Cup and Tortilla Chips
September,2024,27,,Breakfast Bread,Turkey Hot Dog,Vegetables and Chex Mix
September,2024,30,,Cereal,Cheesy Baked Potatoes with Seasoned Beans,Fruit and Chex Mix
