month,year,day of month,early release,breakfast,lunch,snack
October,2024,1,,"Breakfast Bread","Mozzarella Breadsticks","Fruit and Crackers"
October,2024,2,,"Cereal","Bean and Cheese Burrito","Yogurt and Granola"
October,2024,3,,"Blueberry Muffin","Cheese Pizza","Cheese and Vegetables"
October,2024,7,,"Cinnamon Chex Cereal","Teriyaki Chicken with Brown Rice","Yogurt and Granola"
October,2024,8,,"Breakfast Bread","Chicken Tenders","Fruit Cup and Crackers"
October,2024,9,,"Bagel Sticks with Cream Cheese","Philly Cheesesteak Sandwich","Fruit and Crackers"
October,2024,10,,"Cereal","Cheese Pizza","Fruit Cup and Tortilla Chips"
October,2024,15,,"Cereal","Chicken Tenders","Fruit Cup and Crackers"
October,2024,16,,"Breakfast Bread","Bean and Cheese Nachos","Yogurt and Granola"
October,2024,17,,"Honey Cheerios Cereal","Cheese Pizza","Cheese and Vegetables"
October,2024,21,,"Cinnamon Chex Cereal","Orange Chicken with Brown Rice","Yogurt and Granola"
October,2024,22,,"Breakfast Bread","Mozzarella Breadsticks","Fruit Cup and Crackers"
October,2024,23,true,"Cereal","Turkey Ham Sandwich","Fruit and Crackers"
October,2024,24,,"Bagel Sticks with Cream Cheese","Cheese Pizza","Fruit Cup and Tortilla Chips"
October,2024,25,,"Cinnamon Crumble Bread","Chicken Fillet Sandwich","Vegetables and Chex Mix"
October,2024,28,,"Cinnamon Chex Cereal","Turkey Hot Dog","Fruit and Chex Mix"
October,2024,29,,"Breakfast Bread","Chicken Tenders","Fruit Cup and Crackers"
October,2024,30,,"Cereal","Bean and Cheese Burrito","Yogurt and Granola"
October,2024,31,,"Breakfast Bread","Cheese Pizza","Cheese and Vegetables"
