month,year,day of month,early release,breakfast,lunch,snack
October,2024,1,,"Chicken Sausage and Scrambled Eggs","Mozzarella Breadsticks","Fruit and Crackers"
October,2024,2,,"Blueberry Muffin","Bean and Cheese Burrito","Yogurt and Granola"
October,2024,3,,"Cinnamon Chex Cereal","Cheese Pizza","Cheese and Vegetables"
October,2024,7,,"Chicken Sausage Biscuit Sandwich","Teriyaki Chicken with Brown Rice","Yogurt and Granola"
October,2024,8,,"Maple Waffles","Chicken Tenders","Fruit Cup and Crackers"
October,2024,9,,"Bagel Sticks with Cream Cheese","Philly Cheesesteak Sandwich","Fruit and Crackers"
October,2024,10,,"Banana Bread","Cheese Pizza","Fruit Cup and Tortilla Chips"
October,2024,14,,"Chicken and Waffle Sandwich","Pasta with Marinara and Mozzarella","Fruit and Chex Mix"
October,2024,15,,"Chicken Sausage and Scrambled Eggs","Chicken Tenders","Fruit Cup and Crackers"
October,2024,16,,"Honey Cheerios Cereal","Bean and Cheese Nachos","Yogurt and Granola"
October,2024,17,,"Cinnamon Chex Cereal","Cheese Pizza","Cheese and Vegetables"
October,2024,22,,"Maple Waffles","Orange Chicken with Brown Rice","Fruit Cup and Crackers"
October,2024,23,true,"Bagel Sticks with Cream Cheese","Turkey Ham Sandwich","Fruit and Crackers"
October,2024,24,,"Cinnamon Crumble Bread","Cheese Pizza","Fruit Cup and Tortilla Chips"
October,2024,28,,"Chicken and Waffle Sandwich","Turkey Hot Dog","Fruit and Chex Mix"
October,2024,29,,"Mini Pancakes","Chicken Tenders","Fruit Cup and Crackers"
October,2024,30,,"Chicken Sausage and Scrambled Eggs","Bean and Cheese Burrito","Yogurt and Granola"
October,2024,31,,"Cinnamon Chex Cereal","Cheese Pizza","Cheese and Vegetables"
