month,year,day of month,early release,breakfast,lunch,snack
September,2024,5,,"Cinnamon Crumble Bread","Cheese Pizza","Yogurt and Granola"
September,2024,6,,"French Toast Sticks","Cheeseburger","Fruit and Crackers"
September,2024,9,,"Chicken Sausage Biscuit Sandwich","Teriyaki Chicken with Brown Rice","Yogurt and Granola"
September,2024,10,,"Maple Waffles","Mozzarella Breadsticks","Fruit Cup and Crackers"
September,2024,11,,"Apple Cinnamon Oatmeal Round","Chicken Dumplings","Fruit and Crackers"
September,2024,12,,"Pumpkin Bread","Cheese Pizza","Fruit and Tortilla Chips"
September,2024,16,,"Chicken and Waffle Sandwich","Pasta with Marinara and Mozzarella","Fruit and Chex Mix"
September,2024,17,,"Mini Pancakes","Chicken Tenders","Fruit Cup and Crackers"
September,2024,18,,"Chicken Sausage and Scrambled Eggs","Bean and Cheese Nachos","Yogurt and Granola"
September,2024,19,,"Cinnamon Chex Cereal","Cheese Pizza","Cheese and Vegetables"
September,2024,23,,"Chicken Sausage Biscuit Sandwich","Orange Chicken with Brown Rice","Yogurt and Granola"
September,2024,24,,"Maple Waffles","Mozzarella Breadsticks","Fruit Cup and Crackers"
September,2024,25,true,"Bagel Sticks with Cream Cheese","Turkey Sandwich","Fruit and Crackers"
September,2024,26,,"Breakfast Bread","Cheese Pizza","Fruit Cup and Tortilla Chips"
September,2024,27,,"French Toast Sticks","Turkey Hot Dog","Vegetables and Chex Mix"
September,2024,30,,"Chicken and Waffle Sandwich","More Information Soon","Fruit and Chex Mix"
