month,year,day,early release,meal
October,2024,1,,"Chicken Tenders with Mashed Potatoes"
October,2024,2,,"Kung Pao Chicken with Brown Rice"
October,2024,3,,"Burrito Bar, Pizza"
October,2024,4,,"Chicken Fillet Sandwich"
October,2024,7,,"Teriyaki Chicken with Brown Rice"
October,2024,8,,"Mozzarella Breadsticks"
October,2024,9,,"Philly Cheesesteak Sandwich"
October,2024,10,,"Ethiopian Simmer Sauce with Chickpeas and Brown Rice"
October,2024,14,,"Pasta with Marinara and Mozzarella"
October,2024,15,,"Chicken Tenders with Mashed Potatoes"
October,2024,16,,"Chicken and Cheese Enchilada Empanada"
October,2024,17,,"Burrito Bar, Pizza"
October,2024,18,,"Carmen Ranch Grassfed Beef Burger with Cheese"
October,2024,21,,"Orange Chicken with Brown Rice"
October,2024,22,,"Mozzarella Breadsticks"
October,2024,23,,"Turkey Ham Sandwich, Cheese Sandwich"
October,2024,24,,"Burrito Bar, Pizza"
October,2024,25,,"Chicken Fillet Sandwich"
October,2024,28,,"Turkey Hot Dog"
October,2024,29,,"Chicken Tenders with Mashed Potatoes"
October,2024,30,,"Kung Pao Chicken with Brown Rice"
October,2024,31,,"Burrito Bar, Pizza"
September,2024,30,,"Cheesy Baked Potatoes with Chili"
