month,year,day of month,early release,meal
April,2026,1,,Chicken Fillet Sandwich
April,2026,2,,"Kung Pao Chicken with Brown Rice"
April,2026,7,,Mozzarella Breadsticks
April,2026,8,,Chicken and Vegetable Dumplings
April,2026,9,,"Birria and Cheese Pupusa, Bean and Cheese Pupusa"
April,2026,10,,Chicken Fillet Sandwich
April,2026,13,,Teriyaki Chicken or Tofu with Brown Rice
April,2026,14,,Chicken tenders with Onion Rings
April,2026,15,,Mozzarella Breadsticks
April,2026,16,,Kung Pao Chicken with Brown Rice
April,2026,17,,"Hamburger, Cheeseburger"
April,2026,20,,Chicken and Vegetable Dumplings
April,2026,21,,Mozzarella Breadsticks
April,2026,22,,Chicken Tamale
April,2026,23,,Orange Chicken with Brown Rice
April,2026,24,,Chicken Fillet Sandwich
April,2026,27,,Pasta with Marinara and Meatballs or Mozzarella
April,2026,28,,Chicken tenders with Onion Rings
April,2026,29,,Chicken Fillet Sandwich
April,2026,30,,Kung Pao Chicken with Brown Rice
