month,year,day,early release,meal
August,2026,26,,Burrito Bar, Pizza
August,2026,27,,Burrito Bar, Pizza
August,2026,28,,Burrito Bar, Pizza
August,2026,31,,Orange Chicken with Brown Rice
September,2026,1,,Cheesy Garlic Twists
September,2026,2,,Chicken tenders with Onion Rings
September,2026,3,,"Birria and Cheese Pupusa, Bean and Cheese Pupusa"
September,2026,4,,Chicken Fillet Sandwich
September,2026,8,,Chicken tenders with Onion Rings
September,2026,9,,Buffalo Chicken Bites
September,2026,10,,Lemon Chicken with Brown Rice
September,2026,11,,"Cheeseburger, Hamburger"
September,2026,14,,Orange Chicken with Brown Rice
September,2026,15,,"Birria and Cheese Pupusa, Bean and Cheese Pupusa"
September,2026,16,,Cheesy Garlic Twists
September,2026,17,,Spicy Sichuan Chicken with Brown Rice
September,2026,18,,Chicken Fillet Sandwich
September,2026,21,,Chicken Dumplings
September,2026,22,,Chicken tenders with Onion Rings
September,2026,23,,Buffalo Chicken Bites
September,2026,24,,Lemon Chicken with Brown Rice
September,2026,25,,"Cheeseburger, Hamburger"
September,2026,28,,Oven Fried Rice with Tofu
September,2026,29,,Cheesy Garlic Twists
September,2026,30,,"Birria and Cheese Pupusa, Bean and Cheese Pupusa"
