month,year,day,early release,meal
August,2025,26,,Burrito Bar, Pizza
August,2025,27,,Burrito Bar, Pizza
August,2025,28,,Burrito Bar, Pizza
August,2025,29,,Burrito Bar, Pizza
September,2025,2,,Chicken tenders
September,2025,3,,Mozzarella Breadsticks
September,2025,4,,Teriyaki Chicken with Brown Rice
September,2025,5,,Hamburger, Cheeseburger
September,2025,8,,Pasta with Marinara and Meatballs or Mozzarella
September,2025,9,,Chicken tenders
September,2025,10,,Chicken sandwich
September,2025,11,,Kung Pao Chicken with Brown Rice
September,2025,12,,Hamburger, Cheeseburger
September,2025,15,,Orange Chicken with Brown Rice
September,2025,16,,Mozzarella Breadsticks
September,2025,17,,Turkey and Cheese Sandwich, Cheese Sandwich
September,2025,18,,BBQ Pork Platter
September,2025,19,,Chicken Fillet Sandwich
September,2025,22,,Teriyaki Chicken or Tofu with Brown Rice
September,2025,23,,Chicken tenders
September,2025,24,,Mozzarella Breadsticks
September,2025,25,,Kung Pao Chicken with Brown Rice
September,2025,26,,Hamburger, Cheeseburger
September,2025,29,,Chicken and Vegetables Dumplings
September,2025,30,,Mozzarella Breadsticks
