month,year,day of month,early release,meal
December,2024,2,,"Three Bean Chili with Tortilla Chips"
December,2024,3,,"Cheeseburger, Turkey Bacon Cheeseburger"
December,2024,4,,"Burrito Bar, Pizza"
December,2024,5,,"Kung Pao Chicken with Brown Rice"
December,2024,6,,"Chicken Tenders With Mashed Potatoes"
December,2024,9,,"Orange Chicken with Brown Rice"
December,2024,10,,"Mozzarella Breadsticks"
December,2024,11,,"Ethiopian Simmer Sauce with Chickpeas and Brown Rice"
December,2024,12,,"Burrito Bar, Pizza"
December,2024,13,,"Chicken Fillet Sandwich"
December,2024,16,,"Cheeseburger, Turkey Bacon Cheeseburger"
December,2024,17,,"Cheese Lasagna"
December,2024,18,,"Turkey Ham Sandwich, Cheese Sandwich"
December,2024,19,,"Burrito Bar, Pizza"
December,2024,20,,"Chicken Tenders"
