month,year,day of month,early release,meal
December,2025,1,,Chicken and Vegetable Dumplings
December,2025,2,,Chicken Fillet Sandwich
December,2025,3,,Mozzarella Breadsticks
December,2025,4,,Orange Chicken with Brown Rice
December,2025,5,,Chicken Tamale
December,2025,8,,"Pasta with Marinara and Meatballs or Mozzarella"
December,2025,9,,Chicken tenders with Onion Rings
December,2025,10,,"Turkey and Cheese Sandwich, Cheese Sandwich"
December,2025,11,,Kung Pao Chicken with Brown Rice
December,2025,12,,"Hamburger, Cheeseburger"
December,2025,15,,Orange Chicken with Brown Rice
December,2025,16,,Mozzarella Breadsticks
December,2025,17,,Chicken and Vegetable Dumplings
December,2025,18,,BBQ Pork Platter
December,2025,19,,Chicken Fillet Sandwich
