month,year,day of month,early release,meal
February,2025,3,,"Japanese Curry with Chicken or Vegetables and Brown Rice"
February,2025,4,,"Jalapeno Mozzarella Filled Breadsticks"
February,2025,5,,"Pasta with Marinara and Meatballs or Mozzarella"
February,2025,6,,"Kung Pao Chicken with Brown Rice"
February,2025,7,,"Chicken Fillet Sandwich"
February,2025,10,,"Yakisoba with Chicken or Vegetables"
February,2025,11,,"Chicken Tenders"
February,2025,12,,"Ethiopian Simmer Sauce with Chickpeas and Brown Rice"
February,2025,13,,"Meatball Sub"
February,2025,14,,"Hamburger, Cheeseburger"
February,2025,18,,"Orange Chicken with Brown Rice"
February,2025,19,,"Jalapeno Mozzarella Filled Breadsticks"
February,2025,20,,"Burrito Bar, Pizza"
February,2025,21,,"Grilled Cheese Sandwich"
February,2025,24,,"Chicken Dumplings"
February,2025,25,,"Chicken Tenders"
February,2025,26,,"Turkey Sandwich, Cheese Sandwich"
February,2025,27,,"Teriyaki Chicken with Brown Rice"
February,2025,28,,"Ethiopian Simmer Sauce with Chicken or Chickpeas Over Brown Rice"
