month,year,day of month,early release,meal
February,2026,2,,Cheese Tortellini with Marinara
February,2026,3,,Chicken tenders with Onion Rings
February,2026,4,,Chicken Fillet Sandwich
February,2026,5,,Kung Pao Chicken with Brown Rice
February,2026,6,,Grilled Cheese Sandwich with Tomato Soup
February,2026,9,,Teriyaki Chicken or Tofu with Yakisoba Noodles
February,2026,10,,Mozzarella Breadsticks
February,2026,11,true,"Turkey and Cheese Sandwich, Cheese Sandwich"
February,2026,12,,Chicken and Vegetable Dumplings
February,2026,13,,Chicken Fillet Sandwich
February,2026,17,,Orange Chicken with Brown Rice
February,2026,18,,Chicken tenders with Onion Rings
February,2026,19,,Kung Pao Chicken with Brown Rice
February,2026,20,,Grilled Cheese Pull Apart with Tomato Soup
February,2026,23,,Chicken and Vegetable Dumplings
February,2026,24,,Mozzarella Breadsticks
February,2026,25,,"Birria and Cheese Pupusa, Bean and Cheese Pupusa"
February,2026,26,,Chicken Fillet Sandwich
February,2026,27,,"Hamburger, Cheeseburger"
