month,year,day_of_month,early_release,meal
January,2025,6,,Chicken Tenders
January,2025,7,,"Burrito Bar, Pizza"
January,2025,8,,Mozzarella Breadsticks
January,2025,9,,Kung Pao Chicken with Brown Rice
January,2025,10,,"Cheeseburger, Turkey Bacon Cheeseburger"
January,2025,13,,Yakisoba with Chicken or Vegetables
January,2025,14,,Chicken Tenders
January,2025,15,,Ethiopian Simmer Sauce with Chickpeas and Brown Rice
January,2025,16,,"Burrito Bar, Pizza"
January,2025,17,,Chicken Fillet Sandwich
January,2025,22,,Jalapeno Mozzarella Filled Breadsticks
January,2025,23,,Orange Chicken with Brown Rice
January,2025,24,,Grilled Cheese Sandwich
January,2025,29,,Chicken Dumplings
January,2025,30,,"Burrito Bar, Pizza"
January,2025,31,,Teriyaki Chicken with Brown Rice
