month,year,day of month,early release,meal
January,2026,5,,Pasta with Marinara and Meatballs or Mozzarella
January,2026,6,,Chicken tenders with Onion Rings
January,2026,7,,Chicken Fillet Sandwich
January,2026,8,,Kung Pao Chicken with Brown Rice
January,2026,9,,Grilled Cheese Sandwich with Tomato Soup
January,2026,12,,Teriyaki Chicken or Tofu with Yakisoba Noodles
January,2026,13,,Mozzarella Breadsticks
January,2026,14,true,"Turkey and Cheese Sandwich, Cheese Sandwich"
January,2026,15,,Chicken and Vegetable Dumplings
January,2026,16,,Chicken Fillet Sandwich
January,2026,20,,Orange Chicken with Brown Rice
January,2026,21,,Chicken tenders with Onion Rings
January,2026,22,,Kung Pao Chicken with Brown Rice
January,2026,23,,Grilled Cheese Sandwich with Tomato Soup
January,2026,28,,"Birria and Cheese Papusa, Bean and Cheese Papusa"
January,2026,29,,Chicken and Vegetable Dumplings
January,2026,30,,"Hamburger, Cheeseburger"
