month,year,day_of_month,early_release,meal
May,2025,1,,Kung Pao Chicken with Brown Rice
May,2025,2,,"Burrito Bar, Pizza"
May,2025,5,,Chicken Tamale or Green Chile and Cheese Tamale
May,2025,6,,Jalapeno Mozzarella Filled Breadsticks
May,2025,7,,Ethiopian Simmer Sauce with Chicken and Brown Rice
May,2025,8,,"Burrito Bar, Pizza"
May,2025,9,,Chicken Fillet Sandwich
May,2025,12,,Orange Chicken with Brown Rice
May,2025,13,,Chicken Tenders
May,2025,14,,Turkey Hot Dog
May,2025,15,,"Burrito Bar, Pizza"
May,2025,16,,BBQ Pork with Onion Rings
May,2025,19,,Pasta with Marinara and Meatballs or Mozzarella
May,2025,20,,Chicken Tenders
May,2025,21,,"Turkey Ham Sandwich, Cheese Sandwich"
May,2025,22,,Japanese Curry with Chicken and Brown Rice
May,2025,23,,"Turkey Bacon Cheeseburger, Cheeseburger"
May,2025,27,,Jalapeno Mozzarella Filled Breadsticks
May,2025,28,,Teriyaki Chicken with Brown Rice
May,2025,29,,"Burrito Bar, Pizza"
May,2025,30,,Kung Pao Chicken with Brown Rice
