month,year,day of month,early release,meal
May,2026,4,,Orange Chicken with Noodles
May,2026,5,,Mozzarella Breadsticks
May,2026,6,,Chicken and Vegetable Dumplings
May,2026,7,,"Birria and Cheese Pupusa, Bean and Cheese Pupusa"
May,2026,8,,Chicken Fillet Sandwich
May,2026,11,,Teriyaki Chicken or Tofu with Brown Rice
May,2026,12,,Chicken tenders with Onion Rings
May,2026,13,,Mozzarella Breadsticks
May,2026,14,,Cheese Tortellini with Marinara
May,2026,15,,"Hamburger, Cheeseburger"
May,2026,18,,Orange Chicken with Noodles
May,2026,19,,Mozzarella Breadsticks
May,2026,20,,Green Chile and Cheese Tamale
May,2026,21,,Turkey Chili with Cheese and Tortilla Chips
May,2026,22,,Chicken Fillet Sandwich
May,2026,26,,Pasta with Marinara and Meatballs or Mozzarella
May,2026,27,,Chicken tenders with Onion Rings
May,2026,28,,Chicken Fillet Sandwich
May,2026,29,,"Hamburger, Cheeseburger"
