month,year,day of month,early release,meal
August,2024,27,,"Chicken Tenders"
August,2024,28,,"Pancakes with Chicken Sausage and Berry Compote"
August,2024,29,,"Cheese Pizza, Pepperoni Pizza"
August,2024,30,,"Turkey Hot Dog"
September,2024,3,,"Mozzarella Breadsticks"
September,2024,4,,"Beef Bean and Cheese Burrito, Bean and Cheese Burrito"
September,2024,5,,"Cheese Pizza, Pepperoni Pizza"
September,2024,6,,"Cheeseburger"
September,2024,9,,"Teriyaki Chicken with Brown Rice"
September,2024,10,,"Mozzarella Breadsticks"
September,2024,11,,"Chicken Dumplings"
September,2024,12,,"Cheese Pizza, Pepperoni Pizza"
September,2024,13,,"Chicken Fillet Sandwich"
September,2024,16,,"Pasta with Marinara and Mozzarella"
September,2024,17,,"Chicken Tenders"
September,2024,18,,"Bean and Cheese Nachos"
September,2024,19,,"Cheese Pizza, Pepperoni Pizza"
September,2024,20,,"Green Chile and Cheese Tamale, Chicken Tamale"
September,2024,23,,"Orange Chicken with Brown Rice"
September,2024,24,,"Mozzarella Breadsticks"
September,2024,25,true,"Turkey Sandwich, Cheese Sandwich"
September,2024,26,,"Cheese Pizza, Pepperoni Pizza"
September,2024,27,,"Turkey Hot Dog"
