month,year,day of month,early release,meal
January,2025,6,,"Chicken Tenders"
January,2025,7,,"Bean and Cheese Burrito"
January,2025,8,,"Mozzarella Breadsticks"
January,2025,9,,"Cheese Pizza, Pepperoni Pizza"
January,2025,10,,"Cheeseburger"
January,2025,13,,"Yakisoba with Chicken or Vegetables"
January,2025,14,,"Chicken Tenders"
January,2025,15,,"Pancakes with Chicken Sausage and Berry Compote"
January,2025,16,,"Cheese Pizza, Pepperoni Pizza"
January,2025,17,,"Chicken Fillet Sandwich"
January,2025,22,,"Orange Chicken with Brown Rice"
January,2025,23,,"Cheese Pizza, Pepperoni Pizza"
January,2025,24,,"Grilled Cheese Sandwich"
January,2025,29,,"Chicken Dumplings"
January,2025,30,,"Cheese Pizza, Pepperoni Pizza"
January,2025,31,,"Teriyaki Chicken with Brown Rice"
