month,year,day_of_month,early_release,meal
October,2024,1,,Mozzarella Breadsticks
October,2024,2,,"Beef, Bean and Cheese Burrito, Bean and Cheese Burrito"
October,2024,3,,"Cheese Pizza, Pepperoni Pizza"
October,2024,4,,Chicken Fillet Sandwich
October,2024,7,,Teriyaki Chicken with Brown Rice
October,2024,8,,Chicken Tenders
October,2024,9,,Philly Cheesesteak Sandwich
October,2024,10,,"Cheese Pizza, Pepperoni Pizza"
October,2024,14,,Pasta with Marinara and Mozzarella
October,2024,15,,Chicken Tenders
October,2024,16,,Bean and Cheese Nachos
October,2024,17,,"Cheese Pizza, Pepperoni Pizza"
October,2024,18,,Carmen Ranch Grassfed Beef Burger with Cheese
October,2024,21,,Orange Chicken with Brown Rice
October,2024,22,,Mozzarella Breadsticks
October,2024,23,true,"Turkey Ham Sandwich, Cheese Sandwich"
October,2024,24,,"Cheese Pizza, Pepperoni Pizza"
October,2024,25,,Chicken Fillet Sandwich
October,2024,28,,Turkey Hot Dog
October,2024,29,,"Beef, Bean and Cheese Burrito, Bean and Cheese Burrito"
October,2024,30,,Chicken Tenders
October,2024,31,,"Cheese Pizza, Pepperoni Pizza"
