month,year,day of month,early release,meal
April,2026,1,,Pancakes with Chicken Sausage and Berry Compote
April,2026,2,,"Cheese Pizza, Pepperoni Pizza"
April,2026,7,,Mozzarella Breadsticks
April,2026,8,,"Beef, Bean and Cheese Burrito, Bean and Cheese Burrito"
April,2026,9,,"Cheese Pizza, Pepperoni Pizza"
April,2026,10,,Chicken Fillet Sandwich
April,2026,13,,Teriyaki Chicken or Tofu with Brown Rice
April,2026,14,,Chicken tenders
April,2026,15,,Pancakes with Chicken Sausage and Berry Compote
April,2026,16,,"Cheese Pizza, Pepperoni Pizza"
April,2026,17,,"Hamburger, Cheeseburger"
April,2026,20,,Chicken and Vegetable Dumplings
April,2026,21,,Mozzarella Breadsticks
April,2026,22,,Bean and Cheese Nachos
April,2026,23,,"Cheese Pizza, Pepperoni Pizza"
April,2026,24,,Chicken Fillet Sandwich
April,2026,27,,Pasta with Marinara and Meatballs or Mozzarella
April,2026,28,,Chicken tenders
April,2026,29,,Pancakes with Chicken Sausage and Berry Compote
April,2026,30,,"Cheese Pizza, Pepperoni Pizza"
