month,year,day,early release,meal
August,2026,26,,Chicken Tenders
August,2026,27,,Cheese Pizza, Pepperoni Pizza
August,2026,28,,Cheeseburger, Hamburger
August,2026,31,,Orange Chicken with Brown Rice
September,2026,1,,Cheesy Garlic Twists
September,2026,2,,Bean and Cheese Nachos
September,2026,3,,Cheese Pizza, Pepperoni Pizza
September,2026,4,,Chicken Fillet Sandwich
September,2026,8,,Chicken Tenders
September,2026,9,,Buttermilk Pancakes with Chicken Sausage
September,2026,10,,Cheese Pizza, Pepperoni Pizza
September,2026,11,,Cheeseburger, Hamburger
September,2026,14,,Orange Chicken with Brown Rice
September,2026,15,,Bean and Cheese Nachos
September,2026,16,true,Cheesy Garlic Twists
September,2026,17,,Cheese Pizza, Pepperoni Pizza
September,2026,18,,Chicken Fillet Sandwich
September,2026,21,,Chicken Dumplings
September,2026,22,,Chicken Tenders
September,2026,23,,Buttermilk Pancakes with Chicken Sausage
September,2026,24,,Cheese Pizza, Pepperoni Pizza
September,2026,25,,Cheeseburger, Hamburger
September,2026,28,,Oven Fried Rice with Tofu
September,2026,29,,Cheesy Garlic Twists
September,2026,30,,Beef Bean and Cheese Burrito, Bean and Cheese Burrito
