month,year,day of month,early release,meal
August,2025,26,,Chicken tenders
August,2025,27,,Mozzarella Breadsticks
August,2025,28,,"Cheese Pizza, Pepperoni Pizza"
August,2025,29,,Chicken Fillet Sandwich
September,2025,2,,Chicken tenders
September,2025,3,,"Beef, Bean and Cheese Burrito, Bean and Cheese Burrito"
September,2025,4,,"Cheese Pizza, Pepperoni Pizza"
September,2025,5,,"Hamburger, Cheeseburger"
September,2025,8,,"Pasta with Marinara and Meatballs or Mozzarella"
September,2025,9,,Chicken tenders
September,2025,10,,Pancakes with Chicken Sausage and Berry Compote
September,2025,11,,"Cheese Pizza, Pepperoni Pizza"
September,2025,12,,"Hamburger, Cheeseburger"
September,2025,15,,Orange Chicken with Brown Rice
September,2025,16,,Mozzarella Breadsticks
September,2025,17,true,"Turkey and Cheese Sandwich, Cheese Sandwich"
September,2025,18,,"Cheese Pizza, Pepperoni Pizza"
September,2025,19,,Chicken Fillet Sandwich
September,2025,22,,Teriyaki Chicken or Tofu with Brown Rice
September,2025,23,,Chicken tenders
September,2025,24,,Pancakes with Chicken Sausage and Berry Compote
September,2025,25,,"Cheese Pizza, Pepperoni Pizza"
September,2025,26,,"Hamburger, Cheeseburger"
September,2025,29,,Chicken and Vegetables Dumplings
September,2025,30,,Mozzarella Breadsticks
