month,year,day of month,early release,meal
December,2024,2,,"Three Bean Chili with Tortilla Chips"
December,2024,3,,"Cheeseburger"
December,2024,4,,"Beef, Bean and Cheese Burrito, Bean and Cheese Burrito"
December,2024,5,,"Cheese Pizza, Pepperoni Pizza"
December,2024,6,,"Chicken Tenders"
December,2024,9,,"Orange Chicken with Brown Rice"
December,2024,10,,"Mozzarella Breadsticks"
December,2024,11,,"Pancakes with Chicken Sausage and Berry Compote"
December,2024,12,,"Cheese Pizza, Pepperoni Pizza"
December,2024,13,,"Chicken Fillet Sandwich"
December,2024,16,,"Cheeseburger"
December,2024,17,,"Pasta with Marinara and Mozzarella, Cheese Lasagna"
December,2024,18,true,"Turkey Ham Sandwich, Cheese Sandwich"
December,2024,19,,"Cheese Pizza, Pepperoni Pizza"
December,2024,20,,"Chicken Tenders"
