month,year,day of month,early release,meal
December,2025,1,,Chicken and Vegetables Dumplings
December,2025,2,,Bean and Cheese Nachos
December,2025,3,,Mozzarella Breadsticks
December,2025,4,,"Cheese Pizza, Pepperoni Pizza"
December,2025,5,,"Green Chile and Cheese Tamale, Chicken Tamale"
December,2025,8,,Pasta with Marinara and Meatballs or Mozzarella
December,2025,9,,Chicken tenders
December,2025,10,true,"Turkey and Cheese Sandwich, Cheese Sandwich"
December,2025,11,,"Cheese Pizza, Pepperoni Pizza"
December,2025,12,,"Hamburger, Cheeseburger"
December,2025,15,,Orange Chicken with Brown Rice
December,2025,16,,Mozzarella Breadsticks
December,2025,17,,"Beef, Bean and Cheese Burrito, Bean and Cheese Burrito"
December,2025,18,,"Cheese Pizza, Pepperoni Pizza"
December,2025,19,,Chicken Fillet Sandwich
