month,year,day of month,early release,meal
March,2026,3,,Pasta with Marinara and Meatballs or Mozzarella
March,2026,4,,Chicken tenders
March,2026,5,,"Cheese Pizza, Pepperoni Pizza"
March,2026,6,,Grilled Cheese Sandwich with Tomato Soup
March,2026,9,,Teriyaki Chicken or Tofu with Yakisoba Noodles
March,2026,10,,Mozzarella Breadsticks
March,2026,11,true,"Turkey and Cheese Sandwich, Cheese Sandwich"
March,2026,12,,"Cheese Pizza, Pepperoni Pizza"
March,2026,13,,Chicken Fillet Sandwich
March,2026,16,,Orange Chicken with Brown Rice
March,2026,17,,Chicken tenders
March,2026,18,,Pancakes with Chicken Sausage and Berry Compote
March,2026,19,,"Cheese Pizza, Pepperoni Pizza"
March,2026,20,,Grilled Cheese Pull Apart with Tomato Soup
March,2026,30,,Pasta with Marinara and Meatballs or Mozzarella
March,2026,31,,Chicken tenders
