month,year,day of month,early release,meal
May,2026,4,,Orange Chicken with Brown Rice
May,2026,5,,Mozzarella Breadsticks
May,2026,6,,"Beef, Bean and Cheese Burrito, Bean and Cheese Burrito"
May,2026,7,,"Cheese Pizza, Pepperoni Pizza"
May,2026,8,,Chicken Fillet Sandwich
May,2026,11,,Teriyaki Chicken or Tofu with Brown Rice
May,2026,12,,Chicken tenders
May,2026,13,,Pancakes with Chicken Sausage and Berry Compote
May,2026,14,,"Cheese Pizza, Pepperoni Pizza"
May,2026,15,,"Hamburger, Cheeseburger"
May,2026,18,,Orange Chicken with Brown Rice
May,2026,19,,Mozzarella Breadsticks
May,2026,20,,Bean and Cheese Nachos
May,2026,21,,"Cheese Pizza, Pepperoni Pizza"
May,2026,22,,Chicken Fillet Sandwich
May,2026,26,,Pasta with Marinara and Meatballs or Mozzarella
May,2026,27,,Chicken tenders
May,2026,28,,"Cheese Pizza, Pepperoni Pizza"
May,2026,29,,"Hamburger, Cheeseburger"
