month,year,day of month,early release,meal
November,2025,3,,Pasta with Marinara and Meatballs or Mozzarella
November,2025,4,,Chicken tenders
November,2025,5,,Pancakes with Chicken Sausage and Berry Compote
November,2025,6,,Cheese Pizza, Pepperoni Pizza
November,2025,7,,Hamburger, Cheeseburger
November,2025,10,,Orange Chicken with Brown Rice
November,2025,12,,"Beef, Bean and Cheese Burrito, Bean and Cheese Burrito"
November,2025,13,,Cheese Pizza, Pepperoni Pizza
November,2025,14,,Chicken Fillet Sandwich
November,2025,17,,Teriyaki Chicken or Tofu with Brown Rice
November,2025,18,,Mozzarella Breadsticks
November,2025,19,,Pancakes with Chicken Sausage and Berry Compote
November,2025,20,,Cheese Pizza, Pepperoni Pizza
November,2025,21,,Turkey Chili with Cheese and Tortilla Chips
