month,year,day of month,early release,meal
October,2025,1,,Bean and Cheese Nachos
October,2025,2,,Cheese Pizza, Pepperoni Pizza
October,2025,3,,BBQ Pork Sandwich
October,2025,6,,Pasta with Marinara and Meatballs or Mozzarella
October,2025,7,,Chicken tenders
October,2025,8,,Pancakes with Chicken Sausage and Berry Compote
October,2025,9,,Cheese Pizza, Pepperoni Pizza
October,2025,13,,Orange Chicken with Brown Rice
October,2025,14,,Mozzarella Breadsticks
October,2025,15,,Beef Bean and Cheese Burrito, Bean and Cheese Burrito
October,2025,16,,Cheese Pizza, Pepperoni Pizza
October,2025,17,,Chicken Fillet Sandwich
October,2025,20,,Yakisoba Noodles with Teriyaki Tofu
October,2025,21,,Chicken tenders
October,2025,22,true,Turkey and Cheese Sandwich, Cheese Sandwich
October,2025,23,,Cheese Pizza, Pepperoni Pizza
October,2025,24,,Hamburger, Cheeseburger
October,2025,27,,Chicken and Vegetables Dumplings
October,2025,28,,Mozzarella Breadsticks
October,2025,29,,Bean and Cheese Nachos
