month,year,day of month,early release,breakfast,lunch,snack
January,2025,6,,"Cinnamon Chex Cereal","Chicken Tenders","Cheese and Crackers"
January,2025,7,,"Honey Cheerios Cereal","Bean and Cheese Burrito","Fruit and Chex Mix"
January,2025,8,,"Bagel Sticks with Cream Cheese","Mozzarella Breadsticks","Yogurt and Granola"
January,2025,9,,"Cinnamon Crumble Bread","Cheese Pizza","Fruit Cup and Cheese"
January,2025,13,,"Mini Pancakes","Yakisoba with Chicken","Fruit and Chex Mix"
January,2025,14,,"Scrambled Eggs","Chicken Tenders","Fruit and Crackers"
January,2025,15,,"Cinnamon Chex Cereal","Pancakes and Chicken Sausage","Yogurt and Granola"
January,2025,16,,"Cinnamon Crumble","Cheese Pizza","Cheese and Vegetables"
January,2025,22,,"Maple Waffles","Mozzarella Breadsticks","Fruit and Chex Mix"
January,2025,23,,"Bagel Sticks with Cream Cheese","Orange Chicken with Brown Rice","Yogurt and Granola"
January,2025,24,,"Sunrise Muffin","Cheese Pizza","Fruit Cup and Cheese"
January,2025,29,,"Blueberry Chex Cereal","Chicken Dumplings","Yogurt and Granola"
January,2025,30,,"Cinnamon Chex Cereal","Cheese Pizza","Cheese and Vegetables"
