month,year,day of month,early release,breakfast,lunch,snack
September,2026,1,,Cheerios Cereal,Cheesy Garlic Twists,Cheese and Crackers
September,2026,2,,Vanilla Cream Filled Breadstick,Bean and Cheese Nachos,Fruit with Crackers
September,2026,3,,Apple Cinnamon Muffin,Cheese Pizza,Fruit and Cheese
September,2026,4,,French Toast Sticks,Chicken Sandwich,Vegetables and Crackers
September,2026,8,,Mini Pancakes,Chicken Tenders,Cheese and Crackers
September,2026,9,,Cheerios Cereal,Chicken Sausage with a Pancake,Fruit and Crackers
September,2026,10,,Cream Cheese Filled Bagel Bites,Cheese Pizza,Yogurt and Granola
September,2026,14,,Liege Waffle,Orange Chicken with Brown Rice,Fruit and Crackers
September,2026,15,,Cheerios Cereal,Bean and Cheese Nachos,Cheese and Crackers
September,2026,16,true,Vanilla Cream Filled Breadstick,Cheesy Garlic Twists,Fruit and Cheese
September,2026,17,,Apple Cinnamon Muffin,Cheese Pizza,Yogurt and Granola
September,2026,21,,Mini Pancakes,Chicken Dumplings,Cheese and Crackers
September,2026,22,,Cheerios Cereal,Chicken Tenders,Fruit and Crackers
September,2026,23,,Croissant,Chicken Sausage with a Pancake,Fruit and Cheese
September,2026,24,,Cream Cheese Filled Bagel Bites,Cheese Pizza,Yogurt and Granola
September,2026,28,,Liege Waffle,Oven Fried Rice with Tofu,Fruit and Crackers
September,2026,29,,Cheerios Cereal,Cheesy Garlic Twists,Cheese and Crackers
September,2026,30,,Vanilla Cream Filled Breadstick,Bean and Cheese Burrito,Fruit and Cheese
