month,year,day of month,early release,breakfast,lunch,snack
February,2026,3,,Honey Cheerios Cereal,Chicken Tenders,Fruit and Crackers
February,2026,4,,Vanilla Cream Filled Breadstick,Pancakes and Chicken Sausage,Yogurt and Granola
February,2026,5,,Bagel Bites with Cream Cheese,Cheese Pizza,Fruit and Cheese
February,2026,10,,Blueberry Chex Cereal,Mozzarella Breadsticks,Fruit and Crackers
February,2026,11,,Liege Waffle,"Turkey and Cheese Sandwich, Cheese Sandwich",Yogurt and Granola
February,2026,12,,Apple Cinnamon Muffin,Cheese Pizza,Vegetables and Cheese
February,2026,17,,Vanilla Cream Filled Breadstick,Orange Chicken with Brown Rice,Fruit and Crackers
February,2026,18,,Honey Cheerios Cereal,Chicken Tenders,Yogurt and Granola
February,2026,19,,Bagel Bites with Cream Cheese,Cheese Pizza,Fruit and Cheese
February,2026,23,,Chicken and Waffle Sandwich,Chicken and Vegetable Dumplings,Fruit and Crackers
February,2026,24,,Blueberry Chex Cereal,Mozzarella Breadsticks,Fruit and Crackers
February,2026,25,,Maple Waffles,Bean and Cheese Papusa,Yogurt and Granola
February,2026,26,,Apple Cinnamon Muffin,Cheese Pizza,Vegetables and Cheese
