month,year,day of month,early release,breakfast,lunch,snack
January,2026,6,,Honey Cheerios Cereal,Chicken Tenders,Fruit and Crackers
January,2026,7,,Vanilla Cream Filled Breadstick,Pancakes and Chicken Sausage,Yogurt and Granola
January,2026,8,,Bagel Bites with Cream Cheese,Cheese Pizza,Fruit and Cheese
January,2026,13,,Blueberry Chex Cereal,Mozzarella Breadsticks,Cheese and Crackers
January,2026,14,,Maple Waffles,Turkey and Cheese Sandwich,Yogurt and Granola
January,2026,15,,Apple Cinnamon Muffin,Cheese Pizza,Vegetables and Cheese
January,2026,20,,Vanilla Cream Filled Breadstick,Orange Chicken with Brown Rice,Fruit and Crackers
January,2026,21,,Honey Cheerios Cereal,Chicken Tenders,Yogurt and Granola
January,2026,22,,Bagel Bites with Cream Cheese,Cheese Pizza,Fruit and Cheese
January,2026,26,,Cereal,Yogurt and Granola,Cheese and Crackers
January,2026,27,,Cereal,Yogurt and Granola,Fruit and Crackers
January,2026,28,,Maple Waffles,Bean and Cheese Papusa,Yogurt and Granola
January,2026,29,,Blueberry Chex Cereal,Cheese Pizza,Vegetables and Cheese
