month,year,day of month,early release,breakfast,lunch,snack
March,2025,4,,"Maple Waffles","Pasta with Marinara and Mozzarella","Fruit and Chex Mix"
March,2025,5,,"Bagel Sticks with Cream Cheese","Chicken Tenders","Yogurt and Granola"
March,2025,6,,"Sunrise Muffin","Cheese Pizza","Fruit Cup and Cheese"
March,2025,10,,"Mini Pancakes","Yakisoba with Chicken","Fruit and Chex Mix"
March,2025,11,,"Scrambled Eggs","Mozzarella Breadsticks","Fruit and Crackers"
March,2025,12,,"Chicken and Waffle Sandwich","Pancake and Chicken Sausage","Yogurt and Granola"
March,2025,13,,"Cinnamon Crumble","Cheese Pizza","Cheese and Vegetables"
March,2025,18,,"Maple Waffles","Turkey Hot Dog","Fruit and Chex Mix"
March,2025,19,true,"Bagel Sticks with Cream Cheese","Turkey Ham Sandwich Cheese Sandwich","Yogurt and Granola"
March,2025,20,,"Sunrise Muffin","Cheese Pizza","Fruit Cup and Cheese"
March,2025,31,,"Cinnamon Chex Cereal","Chicken Tenders","Fruit and Chex Mix"
