month,year,day of month,early release,breakfast,lunch,snack
May,2025,1,,Sunrise Muffin,Cheese Pizza,Fruit Cup and Cheese
May,2025,6,,Scrambled Eggs,Mozzarella Breadsticks,Fruit and Crackers
May,2025,7,,Chicken and Waffle Sandwich,Pancake and Chicken Sausage,Yogurt and Granola
May,2025,8,,Cinnamon Crumble,Cheese Pizza,Cheese and Vegetables
May,2025,13,,Maple Waffles,Bean and Cheese Nachos,Fruit and Chex Mix
May,2025,14,,Blueberry Chex Cereal,Turkey Hot Dog,Yogurt and Granola
May,2025,15,,Sunrise Muffin,Cheese Pizza,Fruit Cup and Cheese
May,2025,20,,Scrambled Eggs,Chicken Tenders,Fruit and Crackers
May,2025,21,true,Chicken and Waffle Sandwich,Turkey Ham Sandwich Cheese Sandwich,Yogurt and Granola
May,2025,22,,Sunrise Muffin,Cheese Pizza,Cheese and Vegetables
May,2025,27,,Cinnamon Chex Cereal,Mozzarella Breadsticks,Fruit and Chex Mix
May,2025,28,,Honey Cheerios Cereal,Teriyaki Chicken with Brown Rice,Yogurt and Granola
May,2025,29,,Sunrise Muffin,Cheese Pizza,Fruit Cup and Cheese
