month,year,day of month,early release,breakfast,lunch,snack
May,2026,5,,Cheerios Cereal,Mozzarella Breadsticks,Fruit and Crackers
May,2026,6,,Liege Waffle,Bean and Cheese Burrito,Yogurt and Granola
May,2026,7,,Apple Cinnamon Muffin,Cheese Pizza,Vegetables and Cheese
May,2026,12,,Cheerios Cereal,Chicken Tenders,Fruit and Crackers
May,2026,13,,Vanilla Cream Filled Breadstick,Pancakes and Chicken Sausage,Fruit and Cheese
May,2026,14,,Bagel Bites with Cream Cheese,Cheese Pizza,Yogurt and Granola
May,2026,19,,Cheerios Cereal,Mozzarella Breadsticks,Fruit and Crackers
May,2026,20,,Liege Waffle,Bean and Cheese Nachos,Vegetables and Cheese
May,2026,21,,Apple Cinnamon Muffin,Cheese Pizza,Yogurt and Granola
May,2026,26,,Ham and Cheese Croissant,Pasta with Marinara and Mozzarella,Fruit and Crackers
May,2026,27,,Cheerios Cereal,Chicken Tenders,Fruit and Cheese
May,2026,28,,Bagel Bites with Cream Cheese,Cheese Pizza,Yogurt and Granola
