month,year,day of month,early release,breakfast,lunch
November,2024,5,,"Maple Waffles","Mozzarella Breadsticks"
November,2024,6,,"Bagel Sticks with Cream Cheese","Teriyaki Chicken with Brown Rice"
November,2024,7,,"Lemon Bread","Cheese Pizza"
November,2024,8,,"French Toast Sticks","Chicken Fillet Sandwich"
November,2024,12,,"Mini Pancakes","Pasta with Marinara and Mozzarella"
November,2024,13,,"Blueberry Chex Cereal","Bean and Cheese Nachos"
November,2024,14,,"Banana Bread","Cheese Pizza"
November,2024,15,,"Honey Cheerios Cereal","Chicken Tenders"
November,2024,19,,"Maple Waffles","Mozzarella Breadsticks"
November,2024,20,true,"Bagel Sticks with Cream Cheese","Cheese Sandwich"
November,2024,21,,"Pumpkin Bread","Cheese Pizza"
November,2024,22,,"French Toast Sticks","Roast Turkey and Gravy"
