month,year,day of month,early release,breakfast,lunch
April,2026,1,,,"Vanilla Cream Filled Breadstick","Pancake and Chicken Sausage"
April,2026,2,,,"Bagel Bites with Cream Cheese","Cheese Pizza"
April,2026,3,,,Cereal,"Yogurt and Granola"
April,2026,7,,,"Chicken and Waffle Sandwich","Mozzarella Breadsticks"
April,2026,8,,,"Cheerios Cereal","Bean and Cheese Burrito"
April,2026,9,,,"Apple Cinnamon Muffin","Cheese Pizza"
April,2026,10,,,"Mini Pancakes","Chicken Fillet Sandwich"
April,2026,14,,,"Cheerios Cereal","Chicken Tenders"
April,2026,15,,,"Vanilla Cream Filled Breadstick","Pancake and Chicken Sausage"
April,2026,16,,,"Bagel Bites with Cream Cheese","Cheese Pizza"
April,2026,17,,,"French Toast Sticks",Hamburger
April,2026,22,,,"Maple Waffles","Bean and Cheese Nachos"
April,2026,23,,,"Apple Cinnamon Muffin","Cheese Pizza"
April,2026,24,,,"Mini Pancakes","Chicken Fillet Sandwich"
April,2026,28,,,"Cheerios Cereal","Chicken Tenders"
April,2026,29,,,"Vanilla Cream Filled Breadstick","Pancake and Chicken Sausage"
April,2026,30,,,"Bagel Bites with Cream Cheese","Cheese Pizza"
