month,year,day,early release,breakfast,lunch
August,2026,26,,,Chicken Tenders
August,2026,27,,Cream Cheese Filled Bagel Bites,Cheese Pizza
August,2026,28,,Mini Pancakes,Hamburger
September,2026,1,,Cheerios Cereal,Cheesy Garlic Twists
September,2026,2,,Vanilla Cream Filled Breadstick,Bean and Cheese Nachos
September,2026,3,,Apple Cinnamon Muffin,Cheese Pizza
September,2026,4,,French Toast Sticks,Chicken Sandwich
September,2026,8,,Mini Pancakes,Chicken Tenders
September,2026,9,,Cheerios Cereal,"Chicken Sausage with a Pancake"
September,2026,10,,Cream Cheese Filled Bagel Bites,Cheese Pizza
September,2026,11,,French Toast Sticks,Hamburger
September,2026,15,,Cheerios Cereal,Bean and Cheese Nachos
September,2026,16,true,Vanilla Cream Filled Breadstick,Cheesy Garlic Twists
September,2026,17,,Apple Cinnamon Muffin,Cheese Pizza
September,2026,18,,Cinnamon Roll,Chicken Sandwich
September,2026,22,,Cheerios Cereal,Chicken Tenders
September,2026,23,,Croissant,"Chicken Sausage with a Pancake"
September,2026,24,,Cream Cheese Filled Bagel Bites,Cheese Pizza
September,2026,25,,French Toast Sticks,Hamburger
September,2026,29,,Cheerios Cereal,Cheesy Garlic Twists
September,2026,30,,Vanilla Cream Filled Breadstick,Bean and Cheese Burrito
