month,year,day of month,early release,breakfast,lunch
September,2025,2,,"Cinnamon Chex Cereal","Chicken Tenders"
September,2025,3,,"Chicken and Waffle Sandwich","Bean and Cheese Burrito"
September,2025,4,,"Sunrise Muffin","Cheese Pizza"
September,2025,5,,"Mini Pancakes","Hamburger"
September,2025,9,,"Honey Cheerios Cereal","Chicken Tenders"
September,2025,10,,"Maple Waffles","Pancakes and Chicken Sausage"
September,2025,11,,"Bagel Bites with Cream Cheese","Cheese Pizza"
September,2025,12,,"French Toast Sticks","Hamburger"
September,2025,16,,"Cinnamon Chex Cereal","Mozzarella Breadsticks"
September,2025,17,true,"Vanilla Cream Filled Breadstick","Turkey and Cheese Sandwich Cheese Sandwich"
September,2025,18,,"Apple Cinnamon Muffin","Cheese Pizza"
September,2025,19,,"Mini Pancakes","Chicken Fillet Sandwich"
September,2025,23,,"Honey Cheerios Cereal","Chicken Tenders"
September,2025,24,,"Maple Waffles","Pancakes and Chicken Sausage"
September,2025,25,,"Bagel Bites with Cream Cheese","Cheese Pizza"
September,2025,26,,"French Toast Sticks","Hamburger"
September,2025,30,,"Cinnamon Chex Cereal","Mozzarella Breadsticks"
