month,year,day of month,early release,breakfast,lunch
December,2024,3,,"Blueberry Chex Cereal",Cheeseburger
December,2024,4,,"French Toast Sticks","Bean and Cheese Burrito"
December,2024,5,,"Cinnamon Crumble Bread","Cheese Pizza"
December,2024,6,,"Egg and Cheese Filled Hashbrown","Chicken Tenders"
December,2024,10,,"Maple Waffles","Mozzarella Breadsticks"
December,2024,11,,"Bagel Sticks with Cream Cheese","Pancakes and Chicken Sausage"
December,2024,12,,"Banana Bread","Cheese Pizza"
December,2024,13,,"Blueberry Chex Cereal","Chicken Fillet Sandwich"
December,2024,17,,"Mini Pancakes","Pasta with Marinara and Mozzarella"
December,2024,18,true,"Lemon Bread","Turkey Ham Sandwich Cheese Sandwich"
December,2024,19,,"Blueberry Chex Cereal","Cheese Pizza"
December,2024,20,,"Honey Cheerios Cereal","Chicken Tenders"
