month,year,day of month,early release,breakfast,lunch
December,2025,2,,Cinnamon Chex Cereal,Bean and Cheese Nachos
December,2025,3,,Vanilla Cream Filled Breadstick,Mozzarella Breadsticks
December,2025,4,,Apple Cinnamon Muffin,Cheese Pizza
December,2025,5,,Mini Pancakes,Green Chile and Cheese Tamale
December,2025,9,,Honey Cheerios Cereal,Chicken Tenders
December,2025,10,true,Maple Waffles,"Turkey and Cheese Sandwich Cheese Sandwich"
December,2025,11,,Bagel Bites with Cream Cheese,Cheese Pizza
December,2025,16,,Cinnamon Chex Cereal,Mozzarella Breadsticks
December,2025,17,,Vanilla Cream Filled Breadstick,Bean and Cheese Burrito
December,2025,18,,Apple Cinnamon Muffin,Cheese Pizza
December,2025,19,,Cinnamon Chex Cereal,Chicken Fillet Sandwich
