month,year,day,early release,breakfast,lunch
February,2025,4,,Maple Waffles,Mozzarella Breadsticks
February,2025,5,,Bagel Sticks with Cream Cheese,Pasta with Marinara and Mozzarella
February,2025,6,,Cinnamon Crumble Bread,Cheese Pizza
February,2025,7,,French Toast Sticks,Chicken Fillet Sandwich
February,2025,11,,Scrambled Eggs,Chicken Tenders
February,2025,12,,Mini Pancakes,Pancakes and Chicken Sausage
February,2025,13,,Lemon Bread,Cheese Pizza
February,2025,14,,Honey Cheerios Cereal,Hamburger
February,2025,19,,Bagel Sticks with Cream Cheese,Mozzarella Breadsticks
February,2025,20,,Sunrise Muffin,Cheese Pizza
February,2025,21,,French Toast Sticks,Grilled Cheese Sandwich
February,2025,25,,Scrambled Eggs,Chicken Tenders
February,2025,26,true,Chicken and Waffle Sandwich,Turkey Sandwich Cheese Sandwich
February,2025,27,,Cinnamon Crumble,Cheese Pizza
February,2025,28,,Honey Cheerios Cereal,Ethiopian Simmer Sauce with Chicken and Brown Rice
