month,year,day of month,early release,breakfast,lunch
February,2026,3,,Honey Cheerios Cereal,Chicken Tenders
February,2026,4,,Vanilla Cream Filled Breadstick,Pancakes and Chicken Sausage
February,2026,5,,Bagel Bites with Cream Cheese,Cheese Pizza
February,2026,6,,French Toast Sticks,Grilled Cheese Sandwich
February,2026,11,,Liege Waffle,Turkey and Cheese Sandwich Cheese Sandwich
February,2026,12,,Apple Cinnamon Muffin,Cheese Pizza
February,2026,13,,Mini Pancakes,Chicken Fillet Sandwich
February,2026,17,,Vanilla Cream Filled Breadstick,Orange Chicken with Brown Rice
February,2026,18,,Honey Cheerios Cereal,Chicken Tenders
February,2026,19,,Bagel Bites with Cream Cheese,Cheese Pizza
February,2026,20,,French Toast Sticks,Grilled Cheese Pull Apart
February,2026,24,,Blueberry Chex Cereal,Mozzarella Breadsticks
February,2026,25,,Maple Waffles,Bean and Cheese Pupusa
February,2026,26,,Apple Cinnamon Muffin,Cheese Pizza
February,2026,27,,Mini Apple Pancakes,Hamburger
