month,year,day of month,early release,breakfast,lunch
January,2025,7,,Honey Cheerios Cereal,Bean and Cheese Burrito
January,2025,8,,Bagel Sticks with Cream Cheese,Mozzarella Breadsticks
January,2025,9,,Cinnamon Crumble Bread,Cheese Pizza
January,2025,10,,French Toast Sticks,Cheeseburger
January,2025,14,,Breakfast Bread,Chicken Tenders
January,2025,15,,Cinnamon Chex Cereal,"Pancakes and Chicken Sausage"
January,2025,16,,Cinnamon Crumble,Cheese Pizza
January,2025,17,,"Egg and Cheese on an English Muffin",Chicken Fillet Sandwich
January,2025,22,,Bagel Sticks with Cream Cheese,"Orange Chicken with Brown Rice"
January,2025,23,,Sunrise Muffin,Cheese Pizza
January,2025,24,,French Toast Sticks,Grilled Cheese Sandwich
January,2025,29,,Blueberry Chex Cereal,Chicken Dumplings
January,2025,30,,Cinnamon Chex Cereal,Cheese Pizza
January,2025,31,,Mini Pancakes,"Teriyaki Chicken with Brown Rice"
