month,year,day of month,early release,breakfast,lunch
January,2026,6,,Honey Cheerios Cereal,Chicken Tenders
January,2026,7,,Vanilla Cream Filled Breadstick,Pancakes and Chicken Sausage
January,2026,8,,Bagel Bites with Cream Cheese,Cheese Pizza
January,2026,9,,French Toast Sticks,Grilled Cheese Sandwich
January,2026,13,,Blueberry Chex Cereal,Mozzarella Breadsticks
January,2026,14,,Maple Waffles,Turkey and Cheese Sandwich Cheese Sandwich
January,2026,15,,Apple Cinnamon Muffin,Cheese Pizza
January,2026,16,,Mini Pancakes,Chicken Fillet Sandwich
January,2026,20,,Vanilla Cream Filled Breadstick,Orange Chicken with Brown Rice
January,2026,21,,Honey Cheerios Cereal,Chicken Tenders
January,2026,22,,Bagel Bites with Cream Cheese,Cheese Pizza
January,2026,23,,French Toast Sticks,Grilled Cheese Sandwich
January,2026,27,,Honey Cheerios Cereal,Yogurt and Granola
January,2026,28,,Maple Waffles,Bean and Cheese Papusa
January,2026,29,,Blueberry Chex Cereal,Cheese Pizza
January,2026,30,,Mini Pancakes,Hamburger
