month,year,day of month,early release,breakfast,lunch
March,2026,3,,Vanilla Cream Filled Breadstick,Pasta with Marinara and Mozzarella
March,2026,4,,Honey Cheerios Cereal,Chicken Tenders
March,2026,5,,Bagel Bites with Cream Cheese,Cheese Pizza
March,2026,6,,French Toast Sticks,Grilled Cheese Sandwich
March,2026,10,,Blueberry Chex Cereal,Mozzarella Breadsticks
March,2026,11,,Maple Waffles,Turkey and Cheese Sandwich Cheese Sandwich
March,2026,12,,Apple Cinnamon Muffin,Cheese Pizza
March,2026,13,,Mini Pancakes,Chicken Fillet Sandwich
March,2026,17,,Honey Cheerios Cereal,Chicken Tenders
March,2026,18,,Vanilla Cream Filled Breadstick,Pancake and Chicken Sausage
March,2026,19,,Bagel Bites with Cream Cheese,Cheese Pizza
March,2026,20,,French Toast Sticks,Grilled Cheese Pull Apart
March,2026,31,,Honey Cheerios Cereal,Chicken Tenders
