month,year,day of month,early release,breakfast,lunch
May,2025,1,,Sunrise Muffin,Cheese Pizza
May,2025,2,,French Toast Sticks,Bean and Cheese Burrito
May,2025,6,,Scrambled Eggs,Mozzarella Breadsticks
May,2025,7,,Chicken and Waffle Sandwich,Pancake and Chicken Sausage
May,2025,8,,Cinnamon Crumble,Cheese Pizza
May,2025,9,,Blueberry Chex Cereal,Chicken Fillet Sandwich
May,2025,13,,Maple Waffles,Turkey Hot Dog
May,2025,14,,Blueberry Chex Cereal,Bean and Cheese Nachos
May,2025,15,,Sunrise Muffin,Cheese Pizza
May,2025,16,,French Toast Sticks,BBQ Pork
May,2025,20,,Scrambled Eggs,Chicken Tenders
May,2025,21,true,Chicken and Waffle Sandwich,"Turkey Ham Sandwich Cheese Sandwich"
May,2025,22,,Cinnamon Crumble,Cheese Pizza
May,2025,23,,Cinnamon Chex Cereal,Hamburger
May,2025,28,,Honey Cheerios Cereal,Teriyaki Chicken with Brown Rice
May,2025,29,,Sunrise Muffin,Cheese Pizza
May,2025,30,,French Toast Sticks,Bean and Cheese Burrito
