month,year,day of month,early release,breakfast,lunch
May,2026,5,,Cheerios Cereal,Mozzarella Breadsticks
May,2026,6,,Liege Waffle,Bean and Cheese Burrito
May,2026,7,,Apple Cinnamon Muffin,Cheese Pizza
May,2026,8,,Mini Pancakes,Chicken Fillet Sandwich
May,2026,12,,Cheerios Cereal,Chicken Tenders
May,2026,13,,Vanilla Cream Filled Breadstick,Pancake and Chicken Sausage
May,2026,14,,Bagel Bites with Cream Cheese,Cheese Pizza
May,2026,15,,French Toast Sticks,Hamburger
May,2026,19,,Cheerios Cereal,Mozzarella Breadsticks
May,2026,20,,Liege Waffle,Bean and Cheese Nachos
May,2026,21,,Apple Cinnamon Muffin,Cheese Pizza
May,2026,22,,Mini Pancakes,Chicken Fillet Sandwich
May,2026,26,,Ham and Cheese Croissant,Pasta with Marinara and Mozzarella
May,2026,27,,Cheerios Cereal,Chicken Tenders
May,2026,28,,Bagel Bites with Cream Cheese,Cheese Pizza
May,2026,29,,Bagel Bites with Cream Cheese,Hamburger
