month,year,day of month,early release,breakfast,lunch
November,2025,4,,Honey Cheerios Cereal,Chicken Tenders
November,2025,5,,Maple Waffles,Pancakes and Chicken Sausage
November,2025,6,,Bagel Bites with Cream Cheese,Cheese Pizza
November,2025,7,,French Toast Sticks,Hamburger
November,2025,12,,Vanilla Cream Filled Breadstick,Bean and Cheese Burrito
November,2025,13,,Apple Cinnamon Muffin,Cheese Pizza
November,2025,14,,Mini Pancakes,Chicken Fillet Sandwich
November,2025,18,,Honey Cheerios Cereal,Mozzarella Breadsticks
November,2025,19,,Maple Waffles,Pancakes and Chicken Sausage
November,2025,20,,Bagel Bites with Cream Cheese,Cheese Pizza
November,2025,21,,French Toast Sticks,Turkey Chili with Cheese and Tortilla Chips
