month,year,day of month,early release,breakfast,lunch
October,2025,1,,Vanilla Cream Filled Breadstick,Bean and Cheese Nachos
October,2025,2,,Apple Cinnamon Muffin,Cheese Pizza
October,2025,3,,Mini Pancakes,BBQ Pork Sandwich
October,2025,7,,Honey Cheerios Cereal,Chicken Tenders
October,2025,8,,Maple Waffles,Pancakes and Chicken Sausage
October,2025,9,,Bagel Bites with Cream Cheese,Cheese Pizza
October,2025,10,,Cinnamon Chex Cereal,Yogurt and Granola
October,2025,14,,Cinnamon Chex Cereal,Mozzarella Breadsticks
October,2025,15,,Vanilla Cream Filled Breadstick,Bean and Cheese Burrito
October,2025,16,,Apple Cinnamon Muffin,Cheese Pizza
October,2025,17,,Mini Pancakes,Chicken Fillet Sandwich
October,2025,21,,Honey Cheerios Cereal,Chicken Tenders
October,2025,22,true,Maple Waffles,"Turkey and Cheese Sandwich, Cheese Sandwich"
October,2025,23,,Bagel Bites with Cream Cheese,Cheese Pizza
October,2025,24,,French Toast Sticks,Hamburger
October,2025,28,,Cinnamon Chex Cereal,Mozzarella Breadsticks
October,2025,29,,Vanilla Cream Filled Breadstick,Bean and Cheese Nachos
October,2025,30,,Honey Cheerios Cereal,PBJ and Crackers
October,2025,31,,Cinnamon Chex Cereal,Yogurt and Granola
